topic,date,answer,pct
2025 Approval - Trump,2025-01-27,Approve,51.8
2025 Approval - Trump,2025-01-27,Disapprove,43
2025 Approval - Trump,2025-01-28,Approve,51.8
2025 Approval - Trump,2025-01-28,Disapprove,43.1
2025 Approval - Trump,2025-01-29,Approve,50.2
2025 Approval - Trump,2025-01-29,Disapprove,43.7
2025 Approval - Trump,2025-01-30,Approve,50
2025 Approval - Trump,2025-01-30,Disapprove,43.3
2025 Approval - Trump,2025-01-31,Approve,50.1
2025 Approval - Trump,2025-01-31,Disapprove,43.6
2025 Approval - Trump,2025-02-01,Approve,50.2
2025 Approval - Trump,2025-02-01,Disapprove,43.7
2025 Approval - Trump,2025-02-02,Approve,50.2
2025 Approval - Trump,2025-02-02,Disapprove,43.7
2025 Approval - Trump,2025-02-03,Approve,50.2
2025 Approval - Trump,2025-02-03,Disapprove,43.7
2025 Approval - Trump,2025-02-04,Approve,50.2
2025 Approval - Trump,2025-02-04,Disapprove,43.7
2025 Approval - Trump,2025-02-05,Approve,49.7
2025 Approval - Trump,2025-02-05,Disapprove,43.8
2025 Approval - Trump,2025-02-06,Approve,49.5
2025 Approval - Trump,2025-02-06,Disapprove,43.6
2025 Approval - Trump,2025-02-07,Approve,49.2
2025 Approval - Trump,2025-02-07,Disapprove,44.4
2025 Approval - Trump,2025-02-08,Approve,49.2
2025 Approval - Trump,2025-02-08,Disapprove,44.4
2025 Approval - Trump,2025-02-09,Approve,49.8
2025 Approval - Trump,2025-02-09,Disapprove,44.8
2025 Approval - Trump,2025-02-10,Approve,50
2025 Approval - Trump,2025-02-10,Disapprove,44.8
2025 Approval - Trump,2025-02-11,Approve,49.7
2025 Approval - Trump,2025-02-11,Disapprove,45.8
2025 Approval - Trump,2025-02-12,Approve,49.2
2025 Approval - Trump,2025-02-12,Disapprove,46
2025 Approval - Trump,2025-02-13,Approve,49.4
2025 Approval - Trump,2025-02-13,Disapprove,46
2025 Approval - Trump,2025-02-14,Approve,49.6
2025 Approval - Trump,2025-02-14,Disapprove,45.9
2025 Approval - Trump,2025-02-15,Approve,49.6
2025 Approval - Trump,2025-02-15,Disapprove,45.9
2025 Approval - Trump,2025-02-16,Approve,49.6
2025 Approval - Trump,2025-02-16,Disapprove,45.9
2025 Approval - Trump,2025-02-17,Approve,49.6
2025 Approval - Trump,2025-02-17,Disapprove,45.9
2025 Approval - Trump,2025-02-18,Approve,49.8
2025 Approval - Trump,2025-02-18,Disapprove,45.7
2025 Approval - Trump,2025-02-19,Approve,49.2
2025 Approval - Trump,2025-02-19,Disapprove,46
2025 Approval - Trump,2025-02-20,Approve,49
2025 Approval - Trump,2025-02-20,Disapprove,46.5
2025 Approval - Trump,2025-02-21,Approve,49
2025 Approval - Trump,2025-02-21,Disapprove,46.5
2025 Approval - Trump,2025-02-22,Approve,49
2025 Approval - Trump,2025-02-22,Disapprove,46.5
2025 Approval - Trump,2025-02-23,Approve,49
2025 Approval - Trump,2025-02-23,Disapprove,46.5
2025 Approval - Trump,2025-02-24,Approve,48.9
2025 Approval - Trump,2025-02-24,Disapprove,46.5
2025 Approval - Trump,2025-02-25,Approve,49
2025 Approval - Trump,2025-02-25,Disapprove,46.3
2025 Approval - Trump,2025-02-26,Approve,48.9
2025 Approval - Trump,2025-02-26,Disapprove,46.2
2025 Approval - Trump,2025-02-27,Approve,48.7
2025 Approval - Trump,2025-02-27,Disapprove,46.2
2025 Approval - Trump,2025-02-28,Approve,48.9
2025 Approval - Trump,2025-02-28,Disapprove,46.5
2025 Approval - Trump,2025-03-01,Approve,48.9
2025 Approval - Trump,2025-03-01,Disapprove,46.5
2025 Approval - Trump,2025-03-02,Approve,49.3
2025 Approval - Trump,2025-03-02,Disapprove,47.5
2025 Approval - Trump,2025-03-03,Approve,48.9
2025 Approval - Trump,2025-03-03,Disapprove,47.5
2025 Approval - Trump,2025-03-04,Approve,48.9
2025 Approval - Trump,2025-03-04,Disapprove,47.6
2025 Approval - Trump,2025-03-05,Approve,48.3
2025 Approval - Trump,2025-03-05,Disapprove,47.1
2025 Approval - Trump,2025-03-06,Approve,48.2
2025 Approval - Trump,2025-03-06,Disapprove,47.1
2025 Approval - Trump,2025-03-07,Approve,48
2025 Approval - Trump,2025-03-07,Disapprove,47.3
2025 Approval - Trump,2025-03-08,Approve,48
2025 Approval - Trump,2025-03-08,Disapprove,47.3
2025 Approval - Trump,2025-03-09,Approve,47.9
2025 Approval - Trump,2025-03-09,Disapprove,47.3
2025 Approval - Trump,2025-03-10,Approve,48.2
2025 Approval - Trump,2025-03-10,Disapprove,47.7
2025 Approval - Trump,2025-03-11,Approve,48
2025 Approval - Trump,2025-03-11,Disapprove,47.9
2025 Approval - Trump,2025-03-12,Approve,47.5
2025 Approval - Trump,2025-03-12,Disapprove,48.4
2025 Approval - Trump,2025-03-13,Approve,47.3
2025 Approval - Trump,2025-03-13,Disapprove,48.8
2025 Approval - Trump,2025-03-14,Approve,47.3
2025 Approval - Trump,2025-03-14,Disapprove,48.9
